Class,Outcome group,ResNet50 top1,DINOv2-S top1,ResNet50 top1 correct,DINOv2-S top1 correct,ResNet50 margin,DINOv2-S margin,ResNet50 top3,DINOv2-S top3,Image path
Leather_35,both_correct,Leather_35,Leather_35,True,True,0.355332,0.363722,Leather_35|Leather_55|Leather_53,Leather_35|Leather_149|Leather_74,my_dataset_test_filtered\Leather_35\1750472237638.png
Leather_36,both_correct,Leather_36,Leather_36,True,True,0.386001,0.365958,Leather_36|Leather_40|Leather_21,Leather_36|Leather_136|Leather_94,my_dataset_test_filtered\Leather_36\1750472577788.jpg
Leather_37,both_correct,Leather_37,Leather_37,True,True,0.143676,0.188952,Leather_37|Leather_53|Leather_147,Leather_37|Leather_55|Leather_43,my_dataset_test_filtered\Leather_37\1750472664705.png
Leather_38,both_correct,Leather_38,Leather_38,True,True,0.139014,0.098151,Leather_38|Leather_40|Leather_41,Leather_38|Leather_40|Leather_21,my_dataset_test_filtered\Leather_38\1750473300546.jpg
Leather_39,both_correct,Leather_39,Leather_39,True,True,0.331755,0.119637,Leather_39|Leather_22|Leather_55,Leather_39|Leather_22|Leather_58,my_dataset_test_filtered\Leather_39\1750473140715.jpg
Leather_40,both_correct,Leather_40,Leather_40,True,True,0.207262,0.117803,Leather_40|Leather_38|Leather_36,Leather_40|Leather_38|Leather_97,my_dataset_test_filtered\Leather_40\1750473354598.jpg
Leather_41,both_correct,Leather_41,Leather_41,True,True,0.214361,0.257943,Leather_41|Leather_38|Leather_40,Leather_41|Leather_38|Leather_141,my_dataset_test_filtered\Leather_41\1750473418205.jpg
Leather_42,both_correct,Leather_42,Leather_42,True,True,0.402135,0.270207,Leather_42|Leather_109|Leather_95,Leather_42|Leather_97|Leather_139,my_dataset_test_filtered\Leather_42\1750473495687.jpg
Leather_43,both_correct,Leather_43,Leather_43,True,True,0.364402,0.165681,Leather_43|Leather_45|Leather_59,Leather_43|Leather_37|Leather_71,my_dataset_test_filtered\Leather_43\1750473554134.jpg
Leather_44,both_correct,Leather_44,Leather_44,True,True,0.418324,0.262900,Leather_44|Leather_114|Leather_125,Leather_44|Leather_65|Leather_66,my_dataset_test_filtered\Leather_44\1750473677835.jpg
Leather_45,both_correct,Leather_45,Leather_45,True,True,0.235263,0.302657,Leather_45|Leather_118|Leather_79,Leather_45|Leather_79|Leather_178,my_dataset_test_filtered\Leather_45\1750473722987.jpg
Leather_46,both_correct,Leather_46,Leather_46,True,True,0.148766,0.140636,Leather_46|Leather_59|Leather_37,Leather_46|Leather_32|Leather_77,my_dataset_test_filtered\Leather_46\1750473772180.jpg
Leather_47,both_correct,Leather_47,Leather_47,True,True,0.277508,0.127064,Leather_47|Leather_40|Leather_139,Leather_47|Leather_120|Leather_43,my_dataset_test_filtered\Leather_47\1750473860065.jpg
Leather_48,dinov2_only_correct,Leather_29,Leather_48,False,True,0.047959,0.061054,Leather_29|Leather_48|Leather_143,Leather_48|Leather_37|Leather_34,my_dataset_test_filtered\Leather_48\1750473923200.jpg
Leather_49,both_correct,Leather_49,Leather_49,True,True,0.133073,0.075013,Leather_49|Leather_93|Leather_147,Leather_49|Leather_87|Leather_110,my_dataset_test_filtered\Leather_49\1750474047268.jpg
Leather_50,resnet_only_correct,Leather_50,Leather_141,True,False,0.103653,0.061536,Leather_50|Leather_143|Leather_40,Leather_141|Leather_133|Leather_34,my_dataset_test_filtered\Leather_50\1750474161918.jpg
Leather_51,both_correct,Leather_51,Leather_51,True,True,0.447126,0.358287,Leather_51|Leather_57|Leather_86,Leather_51|Leather_86|Leather_71,my_dataset_test_filtered\Leather_51\1750474255738.jpg
Leather_52,both_correct,Leather_52,Leather_52,True,True,0.204350,0.184181,Leather_52|Leather_48|Leather_34,Leather_52|Leather_140|Leather_21,my_dataset_test_filtered\Leather_52\1750474303814.jpg
Leather_53,both_correct,Leather_53,Leather_53,True,True,0.242828,0.111664,Leather_53|Leather_195|Leather_76,Leather_53|Leather_78|Leather_84,my_dataset_test_filtered\Leather_53\1750474407644.jpg
Leather_54,both_correct,Leather_54,Leather_54,True,True,0.072113,0.037230,Leather_54|Leather_49|Leather_40,Leather_54|Leather_142|Leather_120,my_dataset_test_filtered\Leather_54\1750474620078.jpg
Leather_55,resnet_only_correct,Leather_55,Leather_85,True,False,0.097031,0.002108,Leather_55|Leather_85|Leather_120,Leather_85|Leather_55|Leather_37,my_dataset_test_filtered\Leather_55\1750474881487.jpg
Leather_56,both_correct,Leather_56,Leather_56,True,True,0.091277,0.143451,Leather_56|Leather_31|Leather_32,Leather_56|Leather_58|Leather_123,my_dataset_test_filtered\Leather_56\1750475017234.jpg
Leather_57,both_correct,Leather_57,Leather_57,True,True,0.320996,0.153073,Leather_57|Leather_195|Leather_81,Leather_57|Leather_84|Leather_118,my_dataset_test_filtered\Leather_57\1750475119001.jpg
Leather_58,both_correct,Leather_58,Leather_58,True,True,0.063745,0.028298,Leather_58|Leather_145|Leather_83,Leather_58|Leather_56|Leather_31,my_dataset_test_filtered\Leather_58\1750475225344.jpg
Leather_59,both_correct,Leather_59,Leather_59,True,True,0.163787,0.180376,Leather_59|Leather_53|Leather_37,Leather_59|Leather_43|Leather_142,my_dataset_test_filtered\Leather_59\1750483475336.jpg
Leather_60,both_correct,Leather_60,Leather_60,True,True,0.250255,0.165775,Leather_60|Leather_76|Leather_190,Leather_60|Leather_76|Leather_58,my_dataset_test_filtered\Leather_60\1750483929819.jpg
Leather_61,both_correct,Leather_61,Leather_61,True,True,0.145027,0.098433,Leather_61|Leather_118|Leather_78,Leather_61|Leather_78|Leather_84,my_dataset_test_filtered\Leather_61\1750484033251.jpg
Leather_62,both_correct,Leather_62,Leather_62,True,True,0.337049,0.470419,Leather_62|Leather_59|Leather_76,Leather_62|Leather_45|Leather_48,my_dataset_test_filtered\Leather_62\1750484107750.jpg
Leather_63,both_correct,Leather_63,Leather_63,True,True,0.495663,0.438573,Leather_63|Leather_52|Leather_62,Leather_63|Leather_47|Leather_120,my_dataset_test_filtered\Leather_63\1750484158981.jpg
Leather_64,both_correct,Leather_64,Leather_64,True,True,0.067962,0.204383,Leather_64|Leather_98|Leather_99,Leather_64|Leather_106|Leather_88,my_dataset_test_filtered\Leather_64\1750485077151.jpg
Leather_65,both_correct,Leather_65,Leather_65,True,True,0.224318,0.071095,Leather_65|Leather_66|Leather_31,Leather_65|Leather_66|Leather_72,my_dataset_test_filtered\Leather_65\1750485463475.jpg
Leather_66,both_correct,Leather_66,Leather_66,True,True,0.160463,0.056983,Leather_66|Leather_65|Leather_31,Leather_66|Leather_65|Leather_72,my_dataset_test_filtered\Leather_66\1750485521883.jpg
Leather_67,both_correct,Leather_67,Leather_67,True,True,0.094721,0.066177,Leather_67|Leather_68|Leather_81,Leather_67|Leather_68|Leather_70,my_dataset_test_filtered\Leather_67\1750485574828.jpg
Leather_68,both_correct,Leather_68,Leather_68,True,True,0.072125,0.041565,Leather_68|Leather_70|Leather_81,Leather_68|Leather_70|Leather_67,my_dataset_test_filtered\Leather_68\1750485648416.jpg
Leather_69,both_correct,Leather_69,Leather_69,True,True,0.166798,0.086297,Leather_69|Leather_68|Leather_70,Leather_69|Leather_123|Leather_79,my_dataset_test_filtered\Leather_69\1750485718340.jpg
Leather_70,both_correct,Leather_70,Leather_70,True,True,0.109230,0.011249,Leather_70|Leather_68|Leather_58,Leather_70|Leather_68|Leather_69,my_dataset_test_filtered\Leather_70\1750485770008.jpg
Leather_71,both_correct,Leather_71,Leather_71,True,True,0.288130,0.282077,Leather_71|Leather_65|Leather_66,Leather_71|Leather_57|Leather_43,my_dataset_test_filtered\Leather_71\1750485829171.jpg
Leather_72,both_correct,Leather_72,Leather_72,True,True,0.348110,0.190378,Leather_72|Leather_76|Leather_60,Leather_72|Leather_66|Leather_65,my_dataset_test_filtered\Leather_72\1750485875459.jpg
Leather_73,both_correct,Leather_73,Leather_73,True,True,0.127551,0.125794,Leather_73|Leather_04|Leather_184,Leather_73|Leather_70|Leather_79,my_dataset_test_filtered\Leather_73\1750485959010.jpg
Leather_74,both_correct,Leather_74,Leather_74,True,True,0.126652,0.205344,Leather_74|Leather_56|Leather_31,Leather_74|Leather_58|Leather_56,my_dataset_test_filtered\Leather_74\1750486019457.jpg
Leather_75,both_correct,Leather_75,Leather_75,True,True,0.082291,0.067455,Leather_75|Leather_82|Leather_146,Leather_75|Leather_118|Leather_68,my_dataset_test_filtered\Leather_75\1750486112741.jpg
Leather_76,both_correct,Leather_76,Leather_76,True,True,0.160967,0.140108,Leather_76|Leather_123|Leather_60,Leather_76|Leather_58|Leather_145,my_dataset_test_filtered\Leather_76\1750486164800.jpg
Leather_77,both_correct,Leather_77,Leather_77,True,True,0.087080,0.131006,Leather_77|Leather_146|Leather_150,Leather_77|Leather_124|Leather_193,my_dataset_test_filtered\Leather_77\1750486227659.jpg
Leather_78,both_correct,Leather_78,Leather_78,True,True,0.113354,0.070732,Leather_78|Leather_79|Leather_61,Leather_78|Leather_84|Leather_118,my_dataset_test_filtered\Leather_78\1750486282509.jpg
Leather_79,both_correct,Leather_79,Leather_79,True,True,0.116335,0.172261,Leather_79|Leather_78|Leather_144,Leather_79|Leather_69|Leather_70,my_dataset_test_filtered\Leather_79\1750486351295.jpg
Leather_80,both_correct,Leather_80,Leather_80,True,True,0.077757,0.135022,Leather_80|Leather_144|Leather_75,Leather_80|Leather_150|Leather_122,my_dataset_test_filtered\Leather_80\1750486405057.jpg
Leather_81,both_correct,Leather_81,Leather_81,True,True,0.108459,0.031976,Leather_81|Leather_68|Leather_85,Leather_81|Leather_118|Leather_84,my_dataset_test_filtered\Leather_81\1750486453204.jpg
Leather_82,both_correct,Leather_82,Leather_82,True,True,0.058516,0.091024,Leather_82|Leather_146|Leather_75,Leather_82|Leather_146|Leather_150,my_dataset_test_filtered\Leather_82\1750486496818.jpg
Leather_83,both_correct,Leather_83,Leather_83,True,True,0.008619,0.115816,Leather_83|Leather_58|Leather_145,Leather_83|Leather_77|Leather_58,my_dataset_test_filtered\Leather_83\1750486589469.jpg
Leather_84,both_correct,Leather_84,Leather_84,True,True,0.121039,0.099016,Leather_84|Leather_124|Leather_81,Leather_84|Leather_78|Leather_75,my_dataset_test_filtered\Leather_84\1750486652785.jpg
Leather_85,both_correct,Leather_85,Leather_85,True,True,0.080129,0.172493,Leather_85|Leather_81|Leather_68,Leather_85|Leather_37|Leather_20,my_dataset_test_filtered\Leather_85\1750486731620.jpg
Leather_86,both_correct,Leather_86,Leather_86,True,True,0.356994,0.346147,Leather_86|Leather_51|Leather_20,Leather_86|Leather_43|Leather_29,my_dataset_test_filtered\Leather_86\1750486795890.jpg
Leather_87,both_correct,Leather_87,Leather_87,True,True,0.430183,0.256754,Leather_87|Leather_37|Leather_147,Leather_87|Leather_110|Leather_49,my_dataset_test_filtered\Leather_87\1750486854577.jpg
Leather_88,both_correct,Leather_88,Leather_88,True,True,0.169378,0.174942,Leather_88|Leather_151|Leather_169,Leather_88|Leather_70|Leather_148,my_dataset_test_filtered\Leather_88\1750487499305.jpg
Leather_89,both_correct,Leather_89,Leather_89,True,True,0.143625,0.181376,Leather_89|Leather_88|Leather_102,Leather_89|Leather_106|Leather_30,my_dataset_test_filtered\Leather_89\1750487589339.jpg
Leather_90,both_correct,Leather_90,Leather_90,True,True,0.211754,0.089758,Leather_90|Leather_91|Leather_107,Leather_90|Leather_91|Leather_181,my_dataset_test_filtered\Leather_90\1750487645905.jpg
Leather_91,resnet_only_correct,Leather_91,Leather_89,True,False,0.131255,0.005566,Leather_91|Leather_90|Leather_33,Leather_89|Leather_91|Leather_101,my_dataset_test_filtered\Leather_91\1750487700533.jpg
Leather_92,both_correct,Leather_92,Leather_92,True,True,0.392560,0.176925,Leather_92|Leather_59|Leather_93,Leather_92|Leather_94|Leather_93,my_dataset_test_filtered\Leather_92\1750487738299.jpg
Leather_93,both_correct,Leather_93,Leather_93,True,True,0.207448,0.059478,Leather_93|Leather_53|Leather_59,Leather_93|Leather_106|Leather_46,my_dataset_test_filtered\Leather_93\1750487779772.jpg
Leather_94,both_correct,Leather_94,Leather_94,True,True,0.352677,0.189743,Leather_94|Leather_36|Leather_142,Leather_94|Leather_136|Leather_36,my_dataset_test_filtered\Leather_94\1750487866782.jpg
Leather_95,both_correct,Leather_95,Leather_95,True,True,0.082175,0.136718,Leather_95|Leather_118|Leather_68,Leather_95|Leather_97|Leather_109,my_dataset_test_filtered\Leather_95\1750487928213.jpg
Leather_96,both_correct,Leather_96,Leather_96,True,True,0.094813,0.237895,Leather_96|Leather_95|Leather_111,Leather_96|Leather_95|Leather_46,my_dataset_test_filtered\Leather_96\1750487976543.jpg
Leather_97,both_correct,Leather_97,Leather_97,True,True,0.233395,0.113328,Leather_97|Leather_98|Leather_50,Leather_97|Leather_85|Leather_95,my_dataset_test_filtered\Leather_97\1750488050266.jpg
Leather_98,both_correct,Leather_98,Leather_98,True,True,0.239017,0.121274,Leather_98|Leather_100|Leather_97,Leather_98|Leather_97|Leather_95,my_dataset_test_filtered\Leather_98\1750488235001.jpg
Leather_99,both_correct,Leather_99,Leather_99,True,True,0.187358,0.221258,Leather_99|Leather_107|Leather_109,Leather_99|Leather_148|Leather_79,my_dataset_test_filtered\Leather_99\1750488306875.jpg
